sample,elapsed_ns,solutions,values,main_thread_reference_scans,last_passes,last_rule_visits,last_terminal_rotations,last_database_evaluations,last_domain_pairs,last_unifications
0,916659664,493,493,0,2,2964,4440,4440,3944,3944
1,888894955,493,493,0,2,2964,4440,4440,3944,3944
2,860751778,493,493,0,2,2962,4438,4438,3944,3944
3,1042822142,493,493,0,2,2964,4440,4440,3944,3944
4,832786425,493,493,0,2,2962,4438,4438,3944,3944
