fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,sync_calls,sync_scans,sync_skips,sync_fallbacks,group_visits,new_slots,sum_list_lengths,unchanged_groups,verify_groups,verify_slots,peak_groups,peak_tuples,semantic_sha256
symmetric-edges-10,0,193375078,111937448,21,2519,2519,1980,1980,0,0,5146,60,98989,5123,0,0,3,60,727bd1e8977c87a4f6d4a746e1bd66a979a426dd63f2fe51b4a3d4aab75d9e3a
symmetric-edges-30,0,152919076,193076295,61,19559,19559,14880,14880,0,0,38686,180,2231969,38623,0,0,3,180,6e4b0de5e2d877666e763403bff8b1fe6f352a4baa45d7c4635c114f20c06b76
