groups,tuples_per_group,mode,sample,sync_ns,calls,scans,skips,group_visits,new_slots,checked_tuples
4,1,false,0,869670,1000,1000,0,0,0,8
4,1,true,0,254133,1000,2,998,0,0,8
4,1,true,1,239059,1000,2,998,0,0,8
4,1,false,1,733535,1000,1000,0,0,0,8
4,1,false,2,818872,1000,1000,0,0,0,8
4,1,true,2,252891,1000,2,998,0,0,8
4,1,true,3,226500,1000,2,998,0,0,8
4,1,false,3,788437,1000,1000,0,0,0,8
4,1,false,4,807375,1000,1000,0,0,0,8
4,1,true,4,275685,1000,2,998,0,0,8
4,1,true,5,206701,1000,2,998,0,0,8
4,1,false,5,860115,1000,1000,0,0,0,8
4,1,false,6,818213,1000,1000,0,0,0,8
4,1,true,6,201133,1000,2,998,0,0,8
4,16,false,0,668386,1000,1000,0,0,0,68
4,16,true,0,409025,1000,2,998,0,0,68
4,16,true,1,304217,1000,2,998,0,0,68
4,16,false,1,498030,1000,1000,0,0,0,68
4,16,false,2,471429,1000,1000,0,0,0,68
4,16,true,2,212009,1000,2,998,0,0,68
4,16,true,3,244508,1000,2,998,0,0,68
4,16,false,3,505111,1000,1000,0,0,0,68
4,16,false,4,465311,1000,1000,0,0,0,68
4,16,true,4,194463,1000,2,998,0,0,68
4,16,true,5,220561,1000,2,998,0,0,68
4,16,false,5,448986,1000,1000,0,0,0,68
4,16,false,6,480413,1000,1000,0,0,0,68
4,16,true,6,218528,1000,2,998,0,0,68
32,1,false,0,14147629,1000,1000,0,0,0,64
32,1,true,0,228044,1000,2,998,0,0,64
32,1,true,1,223076,1000,2,998,0,0,64
32,1,false,1,14089771,1000,1000,0,0,0,64
32,1,false,2,12536744,1000,1000,0,0,0,64
32,1,true,2,143516,1000,2,998,0,0,64
32,1,true,3,160973,1000,2,998,0,0,64
32,1,false,3,10783804,1000,1000,0,0,0,64
32,1,false,4,10878047,1000,1000,0,0,0,64
32,1,true,4,312461,1000,2,998,0,0,64
32,1,true,5,166952,1000,2,998,0,0,64
32,1,false,5,9476566,1000,1000,0,0,0,64
32,1,false,6,2059761,1000,1000,0,0,0,64
32,1,true,6,129696,1000,2,998,0,0,64
32,16,false,0,2132140,1000,1000,0,0,0,544
32,16,true,0,307734,1000,2,998,0,0,544
32,16,true,1,321303,1000,2,998,0,0,544
32,16,false,1,2399362,1000,1000,0,0,0,544
32,16,false,2,2252020,1000,1000,0,0,0,544
32,16,true,2,348745,1000,2,998,0,0,544
32,16,true,3,332691,1000,2,998,0,0,544
32,16,false,3,4359883,1000,1000,0,0,0,544
32,16,false,4,2392110,1000,1000,0,0,0,544
32,16,true,4,1343602,1000,2,998,0,0,544
32,16,true,5,370128,1000,2,998,0,0,544
32,16,false,5,2476949,1000,1000,0,0,0,544
32,16,false,6,2105761,1000,1000,0,0,0,544
32,16,true,6,328685,1000,2,998,0,0,544
128,1,false,0,8111482,1000,1000,0,0,0,256
128,1,true,0,281813,1000,2,998,0,0,256
128,1,true,1,278229,1000,2,998,0,0,256
128,1,false,1,8137420,1000,1000,0,0,0,256
128,1,false,2,8323961,1000,1000,0,0,0,256
128,1,true,2,199309,1000,2,998,0,0,256
128,1,true,3,275033,1000,2,998,0,0,256
128,1,false,3,7982287,1000,1000,0,0,0,256
128,1,false,4,8506877,1000,1000,0,0,0,256
128,1,true,4,320442,1000,2,998,0,0,256
128,1,true,5,252600,1000,2,998,0,0,256
128,1,false,5,8435579,1000,1000,0,0,0,256
128,1,false,6,8024301,1000,1000,0,0,0,256
128,1,true,6,244007,1000,2,998,0,0,256
128,16,false,0,9631780,1000,1000,0,0,0,2176
128,16,true,0,1182760,1000,2,998,0,0,2176
128,16,true,1,1065564,1000,2,998,0,0,2176
128,16,false,1,12630134,1000,1000,0,0,0,2176
128,16,false,2,12353979,1000,1000,0,0,0,2176
128,16,true,2,744973,1000,2,998,0,0,2176
128,16,true,3,809239,1000,2,998,0,0,2176
128,16,false,3,9060581,1000,1000,0,0,0,2176
128,16,false,4,10033696,1000,1000,0,0,0,2176
128,16,true,4,1189692,1000,2,998,0,0,2176
128,16,true,5,1078814,1000,2,998,0,0,2176
128,16,false,5,9069815,1000,1000,0,0,0,2176
128,16,false,6,12183371,1000,1000,0,0,0,2176
128,16,true,6,1294018,1000,2,998,0,0,2176
