groups,tuples_per_group,mode,sample,sync_ns,calls,scans,skips,group_visits,new_slots,checked_tuples
4,1,false,0,1295329,1000,1000,0,0,0,8
4,1,true,0,218990,1000,2,998,0,0,8
4,1,true,1,179970,1000,2,998,0,0,8
4,1,false,1,505221,1000,1000,0,0,0,8
4,1,false,2,491030,1000,1000,0,0,0,8
4,1,true,2,169775,1000,2,998,0,0,8
4,1,true,3,144948,1000,2,998,0,0,8
4,1,false,3,379823,1000,1000,0,0,0,8
4,1,false,4,348976,1000,1000,0,0,0,8
4,1,true,4,189375,1000,2,998,0,0,8
4,1,true,5,137487,1000,2,998,0,0,8
4,1,false,5,425932,1000,1000,0,0,0,8
4,1,false,6,284799,1000,1000,0,0,0,8
4,1,true,6,169815,1000,2,998,0,0,8
4,16,false,0,404479,1000,1000,0,0,0,68
4,16,true,0,196425,1000,2,998,0,0,68
4,16,true,1,157136,1000,2,998,0,0,68
4,16,false,1,288425,1000,1000,0,0,0,68
4,16,false,2,366090,1000,1000,0,0,0,68
4,16,true,2,168654,1000,2,998,0,0,68
4,16,true,3,176867,1000,2,998,0,0,68
4,16,false,3,305129,1000,1000,0,0,0,68
4,16,false,4,300893,1000,1000,0,0,0,68
4,16,true,4,204989,1000,2,998,0,0,68
4,16,true,5,128994,1000,2,998,0,0,68
4,16,false,5,292499,1000,1000,0,0,0,68
4,16,false,6,276766,1000,1000,0,0,0,68
4,16,true,6,123557,1000,2,998,0,0,68
32,1,false,0,11524721,1000,1000,0,0,0,64
32,1,true,0,168914,1000,2,998,0,0,64
32,1,true,1,359081,1000,2,998,0,0,64
32,1,false,1,10172575,1000,1000,0,0,0,64
32,1,false,2,11412882,1000,1000,0,0,0,64
32,1,true,2,159240,1000,2,998,0,0,64
32,1,true,3,164677,1000,2,998,0,0,64
32,1,false,3,9926014,1000,1000,0,0,0,64
32,1,false,4,9865403,1000,1000,0,0,0,64
32,1,true,4,165699,1000,2,998,0,0,64
32,1,true,5,190907,1000,2,998,0,0,64
32,1,false,5,10178524,1000,1000,0,0,0,64
32,1,false,6,10053036,1000,1000,0,0,0,64
32,1,true,6,242345,1000,2,998,0,0,64
32,16,false,0,2345831,1000,1000,0,0,0,544
32,16,true,0,278670,1000,2,998,0,0,544
32,16,true,1,430438,1000,2,998,0,0,544
32,16,false,1,2159451,1000,1000,0,0,0,544
32,16,false,2,2087242,1000,1000,0,0,0,544
32,16,true,2,355586,1000,2,998,0,0,544
32,16,true,3,347483,1000,2,998,0,0,544
32,16,false,3,2259381,1000,1000,0,0,0,544
32,16,false,4,2261976,1000,1000,0,0,0,544
32,16,true,4,358831,1000,2,998,0,0,544
32,16,true,5,351158,1000,2,998,0,0,544
32,16,false,5,2517700,1000,1000,0,0,0,544
32,16,false,6,2289858,1000,1000,0,0,0,544
32,16,true,6,268273,1000,2,998,0,0,544
128,1,false,0,8574819,1000,1000,0,0,0,256
128,1,true,0,233041,1000,2,998,0,0,256
128,1,true,1,218539,1000,2,998,0,0,256
128,1,false,1,8548761,1000,1000,0,0,0,256
128,1,false,2,9497929,1000,1000,0,0,0,256
128,1,true,2,242885,1000,2,998,0,0,256
128,1,true,3,268023,1000,2,998,0,0,256
128,1,false,3,8245384,1000,1000,0,0,0,256
128,1,false,4,8176069,1000,1000,0,0,0,256
128,1,true,4,273532,1000,2,998,0,0,256
128,1,true,5,239070,1000,2,998,0,0,256
128,1,false,5,8963454,1000,1000,0,0,0,256
128,1,false,6,8786648,1000,1000,0,0,0,256
128,1,true,6,276716,1000,2,998,0,0,256
128,16,false,0,9322255,1000,1000,0,0,0,2176
128,16,true,0,912103,1000,2,998,0,0,2176
128,16,true,1,877331,1000,2,998,0,0,2176
128,16,false,1,8953990,1000,1000,0,0,0,2176
128,16,false,2,9404428,1000,1000,0,0,0,2176
128,16,true,2,809008,1000,2,998,0,0,2176
128,16,true,3,1057972,1000,2,998,0,0,2176
128,16,false,3,9695317,1000,1000,0,0,0,2176
128,16,false,4,9057155,1000,1000,0,0,0,2176
128,16,true,4,1069750,1000,2,998,0,0,2176
128,16,true,5,859153,1000,2,998,0,0,2176
128,16,false,5,9436256,1000,1000,0,0,0,2176
128,16,false,6,8899569,1000,1000,0,0,0,2176
128,16,true,6,887526,1000,2,998,0,0,2176
