groups,tuples_per_group,mode,sample,sync_ns,calls,scans,skips,group_visits,new_slots,checked_tuples
128,16,false,0,14787098,1000,1000,0,0,0,2176
128,16,true,0,2323668,1000,2,998,0,0,2176
128,16,true,1,1792638,1000,2,998,0,0,2176
128,16,false,1,10491833,1000,1000,0,0,0,2176
128,16,false,2,9529193,1000,1000,0,0,0,2176
128,16,true,2,1623723,1000,2,998,0,0,2176
128,16,true,3,1287237,1000,2,998,0,0,2176
128,16,false,3,10306084,1000,1000,0,0,0,2176
128,16,false,4,9609554,1000,1000,0,0,0,2176
128,16,true,4,1394679,1000,2,998,0,0,2176
128,16,true,5,1075871,1000,2,998,0,0,2176
128,16,false,5,8952174,1000,1000,0,0,0,2176
128,16,false,6,8928440,1000,1000,0,0,0,2176
128,16,true,6,904732,1000,2,998,0,0,2176
128,1,false,0,8039793,1000,1000,0,0,0,256
128,1,true,0,114372,1000,2,998,0,0,256
128,1,true,1,110246,1000,2,998,0,0,256
128,1,false,1,7631588,1000,1000,0,0,0,256
128,1,false,2,8109237,1000,1000,0,0,0,256
128,1,true,2,129324,1000,2,998,0,0,256
128,1,true,3,111549,1000,2,998,0,0,256
128,1,false,3,8182937,1000,1000,0,0,0,256
128,1,false,4,8102526,1000,1000,0,0,0,256
128,1,true,4,126941,1000,2,998,0,0,256
128,1,true,5,112810,1000,2,998,0,0,256
128,1,false,5,10996744,1000,1000,0,0,0,256
128,1,false,6,8123056,1000,1000,0,0,0,256
128,1,true,6,117888,1000,2,998,0,0,256
32,16,false,0,2363878,1000,1000,0,0,0,544
32,16,true,0,381133,1000,2,998,0,0,544
32,16,true,1,250948,1000,2,998,0,0,544
32,16,false,1,2280438,1000,1000,0,0,0,544
32,16,false,2,2155775,1000,1000,0,0,0,544
32,16,true,2,276797,1000,2,998,0,0,544
32,16,true,3,276526,1000,2,998,0,0,544
32,16,false,3,2037537,1000,1000,0,0,0,544
32,16,false,4,1894021,1000,1000,0,0,0,544
32,16,true,4,295155,1000,2,998,0,0,544
32,16,true,5,289415,1000,2,998,0,0,544
32,16,false,5,2171059,1000,1000,0,0,0,544
32,16,false,6,2081703,1000,1000,0,0,0,544
32,16,true,6,200923,1000,2,998,0,0,544
32,1,false,0,1734250,1000,1000,0,0,0,64
32,1,true,0,38578,1000,2,998,0,0,64
32,1,true,1,37517,1000,2,998,0,0,64
32,1,false,1,1802183,1000,1000,0,0,0,64
32,1,false,2,1936905,1000,1000,0,0,0,64
32,1,true,2,58538,1000,2,998,0,0,64
32,1,true,3,34763,1000,2,998,0,0,64
32,1,false,3,1760541,1000,1000,0,0,0,64
32,1,false,4,1748973,1000,1000,0,0,0,64
32,1,true,4,97146,1000,2,998,0,0,64
32,1,true,5,35084,1000,2,998,0,0,64
32,1,false,5,1755243,1000,1000,0,0,0,64
32,1,false,6,1754210,1000,1000,0,0,0,64
32,1,true,6,34691,1000,2,998,0,0,64
4,16,false,0,1464925,1000,1000,0,0,0,68
4,16,true,0,44948,1000,2,998,0,0,68
4,16,true,1,60091,1000,2,998,0,0,68
4,16,false,1,1505336,1000,1000,0,0,0,68
4,16,false,2,2244399,1000,1000,0,0,0,68
4,16,true,2,94212,1000,2,998,0,0,68
4,16,true,3,93902,1000,2,998,0,0,68
4,16,false,3,2122756,1000,1000,0,0,0,68
4,16,false,4,2110607,1000,1000,0,0,0,68
4,16,true,4,128113,1000,2,998,0,0,68
4,16,true,5,92710,1000,2,998,0,0,68
4,16,false,5,2013470,1000,1000,0,0,0,68
4,16,false,6,2047342,1000,1000,0,0,0,68
4,16,true,6,90657,1000,2,998,0,0,68
4,1,false,0,1855102,1000,1000,0,0,0,8
4,1,true,0,36935,1000,2,998,0,0,8
4,1,true,1,35794,1000,2,998,0,0,8
4,1,false,1,1925378,1000,1000,0,0,0,8
4,1,false,2,1923646,1000,1000,0,0,0,8
4,1,true,2,39701,1000,2,998,0,0,8
4,1,true,3,38528,1000,2,998,0,0,8
4,1,false,3,1888012,1000,1000,0,0,0,8
4,1,false,4,1924257,1000,1000,0,0,0,8
4,1,true,4,39609,1000,2,998,0,0,8
4,1,true,5,38898,1000,2,998,0,0,8
4,1,false,5,1963205,1000,1000,0,0,0,8
4,1,false,6,1929755,1000,1000,0,0,0,8
4,1,true,6,40911,1000,2,998,0,0,8
