fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,semantic_sha256
STACK_INCLUSIVE natives-values 1 org.kanger.TechnicalMindTransaction.commit 1
STACK_INCLUSIVE natives-values 1 org.kanger.calculator.Calculator.<init> 1
STACK_INCLUSIVE natives-values 1 org.kanger.calculator.Predicates$1$4.<init> 1
STACK_INCLUSIVE natives-values 1 org.kanger.calculator.Predicates$1.<init> 1
STACK_INCLUSIVE natives-values 1 org.kanger.calculator.Predicates.<init> 1
STACK_INCLUSIVE natives-values 1 org.kanger.factory.DomainFactory.commit 1
STACK_INCLUSIVE natives-values 1 org.kanger.factory.TValueFactory.find 1
STACK_INCLUSIVE natives-values 1 org.kanger.factory.TValueFactory.forEach 4
STACK_INCLUSIVE natives-values 1 org.kanger.primitives.ArgumentsList.equalsBase 1
STACK_INCLUSIVE natives-values 1 org.kanger.primitives.TVariableSet.hashCode 2
STACK_INCLUSIVE natives-values 1 org.kanger.storage.Escalera.find 1
STACK_INCLUSIVE natives-values 1 org.kanger.units.Domain.isExcluded 1
STACK_INCLUSIVE natives-values 1 org.kanger.units.Predicate.getName 1
STACK_INCLUSIVE natives-values 1 org.kanger.units.Predicate.toString 1
STACK_LEAF natives-values 1 java.lang.String.valueOf 1
STACK_LEAF natives-values 1 java.util.ArrayList.clear 1
STACK_LEAF natives-values 1 org.kanger.Linker.linkDomains 2
STACK_LEAF natives-values 1 org.kanger.calculator.Predicates$1$4.<init> 1
STACK_LEAF natives-values 1 org.kanger.factory.DomainFactory.commit 1
STACK_LEAF natives-values 1 org.kanger.primitives.ArgumentsList.equalsBase 1
STACK_LEAF natives-values 1 org.kanger.primitives.TVariableSet.hashCode 2
STACK_LEAF natives-values 1 org.kanger.storage.Escalera.find 1
natives-values,1,111916453,103181915,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
STACK_TOTAL natives-values 2 9
STACK_INCLUSIVE natives-values 2 org.kanger.Linker$3.run 6
STACK_INCLUSIVE natives-values 2 org.kanger.Linker$4.run 6
STACK_INCLUSIVE natives-values 2 org.kanger.Linker.access$2 2
STACK_INCLUSIVE natives-values 2 org.kanger.Linker.access$3 4
STACK_INCLUSIVE natives-values 2 org.kanger.Linker.access$4 1
STACK_INCLUSIVE natives-values 2 org.kanger.Linker.access$5 6
STACK_INCLUSIVE natives-values 2 org.kanger.Linker.checkSystem 2
STACK_INCLUSIVE natives-values 2 org.kanger.Linker.isValidFor 1
STACK_INCLUSIVE natives-values 2 org.kanger.Linker.link 8
STACK_INCLUSIVE natives-values 2 org.kanger.Linker.linkDatabase 4
STACK_INCLUSIVE natives-values 2 org.kanger.Linker.linkDomains 2
STACK_INCLUSIVE natives-values 2 org.kanger.Linker.markExcluded 1
STACK_INCLUSIVE natives-values 2 org.kanger.Linker.rotateVariables 7
STACK_INCLUSIVE natives-values 2 org.kanger.Linker.rotator 8
STACK_INCLUSIVE natives-values 2 org.kanger.Linker.synchronizeSolveIndex 1
STACK_INCLUSIVE natives-values 2 org.kanger.Linker.updateDatabase 1
STACK_INCLUSIVE natives-values 2 org.kanger.Mind.compileLine 1
STACK_INCLUSIVE natives-values 2 org.kanger.Mind.link 8
STACK_INCLUSIVE natives-values 2 org.kanger.Mind.query 9
STACK_INCLUSIVE natives-values 2 org.kanger.Mind.queryCheckFalse 3
STACK_INCLUSIVE natives-values 2 org.kanger.Mind.queryCheckTrue 6
STACK_INCLUSIVE natives-values 2 org.kanger.TValueBaselineBenchmarkRunner.bench 9
STACK_INCLUSIVE natives-values 2 org.kanger.TValueBaselineBenchmarkRunner.main 9
STACK_INCLUSIVE natives-values 2 org.kanger.TValueBaselineBenchmarkRunner.run 9
STACK_INCLUSIVE natives-values 2 org.kanger.compiler.Compiller.compileLine 1
STACK_INCLUSIVE natives-values 2 org.kanger.enums.Tools.parseDate 2
STACK_INCLUSIVE natives-values 2 org.kanger.factory.DictionaryFactory.add 2
STACK_INCLUSIVE natives-values 2 org.kanger.factory.DictionaryFactory.find 2
STACK_INCLUSIVE natives-values 2 org.kanger.factory.RuleFactory.add 1
STACK_INCLUSIVE natives-values 2 org.kanger.factory.TValueFactory.forEach 6
STACK_INCLUSIVE natives-values 2 org.kanger.primitives.ArgumentsList.equalsBase 2
STACK_INCLUSIVE natives-values 2 org.kanger.primitives.TVariableSet.hashCode 1
STACK_INCLUSIVE natives-values 2 org.kanger.units.CachedDomain.setCauses 1
STACK_INCLUSIVE natives-values 2 org.kanger.units.Domain.createStored 1
STACK_INCLUSIVE natives-values 2 org.kanger.units.Domain.getOverlaps 1
STACK_INCLUSIVE natives-values 2 org.kanger.units.Domain.isExcluded 1
STACK_INCLUSIVE natives-values 2 org.kanger.units.Domain.isUsed 1
STACK_INCLUSIVE natives-values 2 org.kanger.units.Domain.setCauses 1
STACK_INCLUSIVE natives-values 2 org.kanger.units.Domain.setUsed 1
STACK_INCLUSIVE natives-values 2 org.kanger.units.Term.<init> 2
STACK_INCLUSIVE natives-values 2 org.kanger.units.Term.construct 2
STACK_LEAF natives-values 2 java.lang.Throwable.fillInStackTrace 1
STACK_LEAF natives-values 2 java.util.Arrays.copyOf 1
STACK_LEAF natives-values 2 java.util.HashMap.hash 1
STACK_LEAF natives-values 2 org.kanger.Linker.checkSystem 2
STACK_LEAF natives-values 2 org.kanger.primitives.ArgumentsList.equalsBase 2
STACK_LEAF natives-values 2 org.kanger.primitives.TVariableSet.hashCode 1
STACK_LEAF natives-values 2 org.kanger.units.Domain.getOverlaps 1
natives-values,2,80889708,91817674,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
STACK_TOTAL natives-values 3 12
STACK_INCLUSIVE natives-values 3 org.kanger.GeneratedCVarMaterializer.alphaEquivalent 1
STACK_INCLUSIVE natives-values 3 org.kanger.GeneratedCVarMaterializer.findAlphaEquivalent 1
STACK_INCLUSIVE natives-values 3 org.kanger.Linker$3.run 7
STACK_INCLUSIVE natives-values 3 org.kanger.Linker$4.run 5
STACK_INCLUSIVE natives-values 3 org.kanger.Linker.access$2 2
STACK_INCLUSIVE natives-values 3 org.kanger.Linker.access$3 5
STACK_INCLUSIVE natives-values 3 org.kanger.Linker.access$4 1
STACK_INCLUSIVE natives-values 3 org.kanger.Linker.access$5 5
STACK_INCLUSIVE natives-values 3 org.kanger.Linker.isValidFor 1
STACK_INCLUSIVE natives-values 3 org.kanger.Linker.link 10
STACK_INCLUSIVE natives-values 3 org.kanger.Linker.linkDatabase 5
STACK_INCLUSIVE natives-values 3 org.kanger.Linker.linkDomains 2
STACK_INCLUSIVE natives-values 3 org.kanger.Linker.rotateVariables 8
STACK_INCLUSIVE natives-values 3 org.kanger.Linker.rotator 10
STACK_INCLUSIVE natives-values 3 org.kanger.Linker.synchronizeSolveIndex 1
STACK_INCLUSIVE natives-values 3 org.kanger.Linker.updateDatabase 2
STACK_INCLUSIVE natives-values 3 org.kanger.Mind.<init> 1
STACK_INCLUSIVE natives-values 3 org.kanger.Mind.isUnitDeleted 1
STACK_INCLUSIVE natives-values 3 org.kanger.Mind.link 10
STACK_INCLUSIVE natives-values 3 org.kanger.Mind.query 12
STACK_INCLUSIVE natives-values 3 org.kanger.Mind.queryCheckFalse 4
STACK_INCLUSIVE natives-values 3 org.kanger.Mind.queryCheckTrue 8
STACK_INCLUSIVE natives-values 3 org.kanger.TValueBaselineBenchmarkRunner.bench 12
STACK_INCLUSIVE natives-values 3 org.kanger.TValueBaselineBenchmarkRunner.main 12
STACK_INCLUSIVE natives-values 3 org.kanger.TValueBaselineBenchmarkRunner.run 12
STACK_INCLUSIVE natives-values 3 org.kanger.TechnicalMindTransaction.<init> 1
STACK_INCLUSIVE natives-values 3 org.kanger.TechnicalMindTransaction.begin 1
STACK_INCLUSIVE natives-values 3 org.kanger.factory.DomainFactory.transaction 1
STACK_INCLUSIVE natives-values 3 org.kanger.factory.FValueFactory.release 1
STACK_INCLUSIVE natives-values 3 org.kanger.factory.RuleFactory.add 1
STACK_INCLUSIVE natives-values 3 org.kanger.factory.RuleFactory.find 2
STACK_INCLUSIVE natives-values 3 org.kanger.factory.TValueFactory.find 1
STACK_INCLUSIVE natives-values 3 org.kanger.factory.TValueFactory.forEach 5
STACK_INCLUSIVE natives-values 3 org.kanger.primitives.ArgumentsList.applyStamp 1
STACK_INCLUSIVE natives-values 3 org.kanger.primitives.ArgumentsList.equalsBase 1
STACK_INCLUSIVE natives-values 3 org.kanger.primitives.TVariableSet.hashCode 1
STACK_INCLUSIVE natives-values 3 org.kanger.storage.Escalera.find 1
STACK_INCLUSIVE natives-values 3 org.kanger.stores.HypothesisStore.add 1
STACK_INCLUSIVE natives-values 3 org.kanger.stores.HypothesisStore.commit 1
STACK_INCLUSIVE natives-values 3 org.kanger.stores.HypothesisStore.equalsBase 1
STACK_INCLUSIVE natives-values 3 org.kanger.stores.HypothesisStore.find 1
STACK_INCLUSIVE natives-values 3 org.kanger.units.Domain.createStored 1
STACK_INCLUSIVE natives-values 3 org.kanger.units.Domain.isExcluded 2
STACK_INCLUSIVE natives-values 3 org.kanger.units.Domain.isStored 3
STACK_INCLUSIVE natives-values 3 org.kanger.units.Rule.equalsTo 1
STACK_INCLUSIVE natives-values 3 org.kanger.units.Rule.isDeleted 1
STACK_INCLUSIVE natives-values 3 org.kanger.units.TVariable.find 1
STACK_LEAF natives-values 3 java.util.HashMap$HashIterator.nextNode 3
STACK_LEAF natives-values 3 java.util.concurrent.CopyOnWriteArrayList.addAllAbsent 1
STACK_LEAF natives-values 3 org.kanger.GeneratedCVarMaterializer.alphaEquivalent 1
STACK_LEAF natives-values 3 org.kanger.Linker.linkDomains 1
STACK_LEAF natives-values 3 org.kanger.Mind.isUnitDeleted 1
STACK_LEAF natives-values 3 org.kanger.factory.FValueFactory.release 1
STACK_LEAF natives-values 3 org.kanger.primitives.ArgumentsList.equalsBase 1
STACK_LEAF natives-values 3 org.kanger.primitives.TVariableSet.hashCode 1
STACK_LEAF natives-values 3 org.kanger.stores.HypothesisStore.equalsBase 1
STACK_LEAF natives-values 3 org.kanger.units.Rule.equalsTo 1
natives-values,3,73808251,119708864,1,14282,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
STACK_TOTAL natives-values 4 8
STACK_INCLUSIVE natives-values 4 org.kanger.Analyzer.analyze 1
STACK_INCLUSIVE natives-values 4 org.kanger.Analyzer.candidatesFor 1
STACK_INCLUSIVE natives-values 4 org.kanger.Analyzer.checkDatabase 1
STACK_INCLUSIVE natives-values 4 org.kanger.Analyzer.checkRight 1
STACK_INCLUSIVE natives-values 4 org.kanger.Linker$3.run 2
STACK_INCLUSIVE natives-values 4 org.kanger.Linker$4.run 4
STACK_INCLUSIVE natives-values 4 org.kanger.Linker.<init> 1
STACK_INCLUSIVE natives-values 4 org.kanger.Linker.access$2 1
STACK_INCLUSIVE natives-values 4 org.kanger.Linker.access$3 1
STACK_INCLUSIVE natives-values 4 org.kanger.Linker.access$4 3
STACK_INCLUSIVE natives-values 4 org.kanger.Linker.access$5 4
STACK_INCLUSIVE natives-values 4 org.kanger.Linker.isValidFor 3
STACK_INCLUSIVE natives-values 4 org.kanger.Linker.link 6
STACK_INCLUSIVE natives-values 4 org.kanger.Linker.linkDatabase 1
STACK_INCLUSIVE natives-values 4 org.kanger.Linker.linkDomains 1
STACK_INCLUSIVE natives-values 4 org.kanger.Linker.rotateVariables 5
STACK_INCLUSIVE natives-values 4 org.kanger.Linker.rotator 6
STACK_INCLUSIVE natives-values 4 org.kanger.Linker.synchronizeSolveIndex 1
STACK_INCLUSIVE natives-values 4 org.kanger.Mind.<init> 1
STACK_INCLUSIVE natives-values 4 org.kanger.Mind.analyze 1
STACK_INCLUSIVE natives-values 4 org.kanger.Mind.init 1
STACK_INCLUSIVE natives-values 4 org.kanger.Mind.link 6
STACK_INCLUSIVE natives-values 4 org.kanger.Mind.query 8
STACK_INCLUSIVE natives-values 4 org.kanger.Mind.queryCheckFalse 3
STACK_INCLUSIVE natives-values 4 org.kanger.Mind.queryCheckTrue 5
STACK_INCLUSIVE natives-values 4 org.kanger.TValueBaselineBenchmarkRunner.bench 8
STACK_INCLUSIVE natives-values 4 org.kanger.TValueBaselineBenchmarkRunner.main 8
