sample,elapsed_ns,solutions,values,main_thread_reference_scans,last_passes,last_rule_visits,last_terminal_rotations,last_database_evaluations,last_domain_pairs,last_unifications
0,1073768273,493,493,0,2,2962,4438,4438,3944,3944
1,1020693676,493,493,0,2,2964,4440,4440,3944,3944
2,1091911937,493,493,0,2,2964,4440,4440,3944,3944
3,1068322240,493,493,0,2,2964,4440,4440,3944,3944
4,1094888574,493,493,0,2,2964,4440,4440,3944,3944
