sample,elapsed_ns,solutions,values,main_thread_reference_scans,last_passes,last_rule_visits,last_terminal_rotations,last_database_evaluations,last_domain_pairs,last_unifications
0,1246922664,493,493,1,2,2964,4440,4440,3944,3944
1,1129997020,493,493,1,2,2964,4440,4440,3944,3944
2,988733605,493,493,1,2,2964,4440,4440,3944,3944
