fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,selection_ns,linking_ns,functions_ns,database_ns,update_ns,resolved_ns,invocation_ns,pass_prepare_ns,rotator_setup_ns,rule_setup_ns,rotation_ns,callback_ns,validity_ns,solve_sync_ns,semantic_sha256
symmetric-edges-50-partitions-10,0,156587326,2959562848,101,89110,89110,70228647,2011434873,1155002,144610138,55352343,62888115,2939854647,4659876,3241196,8687694,2862787612,2229741503,524156395,416891591,cad2b792fc78d7211e95eaee30aa9f27d1c35f5313e80da30cdfb15884afa683
symmetric-edges-50-partitions-10,1,100857541,2973850539,101,89110,89110,74023994,2010234046,892192,160711652,47845361,66418063,2957775513,3420943,3133767,5041532,2895112768,2248164612,540177696,420553691,cad2b792fc78d7211e95eaee30aa9f27d1c35f5313e80da30cdfb15884afa683
symmetric-edges-100-partitions-10,0,224245101,11761286389,201,318210,318210,263328768,8038754319,2370979,540065803,89523838,231960125,11708522304,7317289,2476039,7134116,11598396415,8850071419,2306092391,1795397950,95ab83d6b37f1cd06a869b0af45b4322cd6297bac6768bf42675ebc7da1384a0
symmetric-edges-100-partitions-10,1,269461887,11752349842,201,318210,318210,276976417,8195201979,2442948,523315307,68378687,245732698,11703985313,8041537,2361770,6228091,11615290538,9003405807,2188572229,1708548625,95ab83d6b37f1cd06a869b0af45b4322cd6297bac6768bf42675ebc7da1384a0
