fixture,sample,compile_ns,query_ns,rows,domain_pairs,unifications,semantic_sha256
natives-values,0,108799624,116520810,1,3251,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,1,109546733,97488082,1,3251,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,2,81233597,90470071,1,3251,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,3,80105791,84457270,1,3251,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,4,77300107,89569595,1,3251,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,5,69427698,84161605,1,3251,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
natives-values,6,80045890,89137054,1,3251,3251,1e32a669397194dffa52431a1d005bf88c0f8e9ef36b6d66cf4bd75abf9f6c3b
singleton-values,0,17090454,27276144,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,1,19033177,25505289,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,2,17408802,26320667,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,3,18980168,24546389,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,4,19158378,23044640,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,5,15261753,21328626,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
singleton-values,6,17236566,27785656,100,800,800,ce6a9724152e44e292c9442693ac84ed28a7e24718df94f1347f0e58df82af49
