facts,sample,publish_ns,reopen_ns,rules,semantic_sha256
10,0,20737493,19247470,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
10,1,13781673,13131535,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
10,2,8970251,10412011,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
10,3,11880091,12417780,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
10,4,12530800,11799080,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
30,0,18049357,20485223,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
30,1,20133677,21312321,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
30,2,21554636,31076950,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
30,3,21031539,26564898,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
30,4,13560071,27437301,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
