facts,sample,publish_ns,reopen_ns,rules,semantic_sha256
10,0,18423797,20117482,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
10,1,12050028,11518738,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
10,2,11921465,14113484,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
10,3,9664026,15712391,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
10,4,7915295,15534242,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
30,0,13061150,19233492,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
30,1,17451299,19372560,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
30,2,12796102,19802247,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
30,3,13245878,18734690,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
30,4,15592100,23472031,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
