facts,sample,publish_ns,reopen_ns,rules,semantic_sha256
10,0,18579216,13883258,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
10,1,10968380,13061571,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
10,2,13569936,15476657,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
10,3,7553049,9525048,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
10,4,7752390,9535294,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
30,0,16969474,27361446,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
30,1,22272936,20691552,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
30,2,16110946,28847793,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
30,3,12178322,18430903,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
30,4,12222548,18075428,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
