facts,sample,publish_ns,reopen_ns,rules,semantic_sha256
10,0,46949648,28805934,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
30,0,58213624,51423342,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
