facts,sample,publish_ns,reopen_ns,rules,semantic_sha256
10,0,18276097,17885090,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
10,1,14950542,16933808,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
10,2,9238215,10343458,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
10,3,9164594,15394060,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
10,4,11831177,14642268,35,b7264774d776f8ee41c62fe1910c16fb908354687b7ce8866411c7d250964ff4
30,0,22183579,31825672,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
30,1,23769997,29777489,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
30,2,13923687,19783927,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
30,3,25291628,33242474,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
30,4,13636414,20005401,95,60491ce698538fef4891090681ef91970fce2d553597eb8313adc31b7bd898a3
